,Unnamed: 0.1, Temperatura (C), Humedad (%),Fecha,Hora
0,0,24.8,71.6,24/10/2022,24/10/2022
1,1,24.8,70.1,24/10/2022,24/10/2022
2,2,24.8,69.8,24/10/2022,24/10/2022
3,3,24.9,69.8,24/10/2022,24/10/2022
4,4,24.9,69.3,24/10/2022,24/10/2022
5,5,25.0,68.6,24/10/2022,24/10/2022
6,6,24.9,67.4,24/10/2022,24/10/2022
7,7,25.0,67.0,24/10/2022,24/10/2022
8,8,25.0,66.3,24/10/2022,24/10/2022
9,9,25.0,66.1,24/10/2022,24/10/2022
10,10,25.0,66.0,24/10/2022,24/10/2022
11,11,25.0,66.0,24/10/2022,24/10/2022
12,12,25.0,66.0,24/10/2022,24/10/2022
13,13,25.0,65.9,24/10/2022,24/10/2022
14,14,25.0,65.7,24/10/2022,24/10/2022
15,15,25.0,65.8,24/10/2022,24/10/2022
16,16,25.0,65.6,24/10/2022,24/10/2022
17,17,25.0,65.5,24/10/2022,24/10/2022
18,18,24.9,65.2,24/10/2022,24/10/2022
19,19,24.9,65.0,24/10/2022,24/10/2022
20,20,24.8,64.9,24/10/2022,24/10/2022
21,21,24.8,65.0,24/10/2022,24/10/2022
22,22,24.7,65.1,24/10/2022,24/10/2022
23,23,24.6,64.9,24/10/2022,24/10/2022
24,24,24.5,65.0,24/10/2022,24/10/2022
25,25,24.5,65.2,24/10/2022,24/10/2022
26,26,24.4,65.5,24/10/2022,24/10/2022
27,27,24.4,65.7,24/10/2022,24/10/2022
28,28,24.3,65.8,24/10/2022,24/10/2022
29,29,24.3,66.0,24/10/2022,24/10/2022
30,30,24.3,66.2,24/10/2022,24/10/2022
31,31,24.3,66.3,24/10/2022,24/10/2022
32,32,24.3,66.5,24/10/2022,24/10/2022
33,33,24.3,66.8,24/10/2022,24/10/2022
34,34,24.3,67.1,24/10/2022,24/10/2022
35,35,24.3,67.1,24/10/2022,24/10/2022
36,36,24.2,66.9,24/10/2022,24/10/2022
37,37,24.1,67.3,24/10/2022,24/10/2022
38,38,24.1,67.4,24/10/2022,24/10/2022
39,39,24.0,67.6,24/10/2022,24/10/2022
40,40,24.0,67.9,24/10/2022,24/10/2022
41,41,24.0,68.1,24/10/2022,24/10/2022
42,42,24.1,68.3,24/10/2022,24/10/2022
43,43,24.1,68.3,24/10/2022,24/10/2022
44,44,24.1,68.2,24/10/2022,24/10/2022
45,45,24.1,68.3,24/10/2022,24/10/2022
46,46,24.0,68.1,24/10/2022,24/10/2022
47,47,24.0,68.2,24/10/2022,24/10/2022
48,48,24.0,68.4,24/10/2022,24/10/2022
49,49,24.0,68.5,24/10/2022,24/10/2022
