,Unnamed: 0.1,Fecha, Temperatura (°C), Humedad (%),Hora
0,0,28/9/2022,26.1,39.4,28/9/2022
1,1,28/9/2022,25.9,37.1,28/9/2022
2,2,28/9/2022,25.8,35.1,28/9/2022
3,3,28/9/2022,25.6,34.8,28/9/2022
4,4,28/9/2022,25.5,35.3,28/9/2022
5,5,28/9/2022,25.5,40.3,28/9/2022
6,6,28/9/2022,25.4,37.8,28/9/2022
7,7,28/9/2022,25.3,40.0,28/9/2022
8,8,28/9/2022,25.2,37.7,28/9/2022
9,9,28/9/2022,25.2,39.2,28/9/2022
10,10,28/9/2022,25.1,38.0,28/9/2022
11,11,28/9/2022,25.0,38.1,28/9/2022
12,12,28/9/2022,25.0,47.0,28/9/2022
13,13,28/9/2022,25.1,49.3,28/9/2022
14,14,28/9/2022,25.2,48.6,28/9/2022
15,15,28/9/2022,25.3,47.8,28/9/2022
16,16,28/9/2022,25.4,50.4,28/9/2022
17,17,28/9/2022,25.4,50.7,28/9/2022
18,18,28/9/2022,26.5,51.6,28/9/2022
19,19,28/9/2022,27.1,49.5,28/9/2022
20,20,28/9/2022,27.6,53.9,28/9/2022
21,21,28/9/2022,28.6,48.9,28/9/2022
22,22,28/9/2022,29.5,46.7,28/9/2022
23,23,28/9/2022,30.2,45.3,28/9/2022
24,24,28/9/2022,30.7,43.8,28/9/2022
25,25,28/9/2022,31.3,42.9,28/9/2022
26,26,28/9/2022,31.9,41.8,28/9/2022
27,27,28/9/2022,32.4,40.7,28/9/2022
28,28,28/9/2022,32.8,41.2,28/9/2022
29,29,28/9/2022,33.1,41.6,28/9/2022
30,30,28/9/2022,33.5,38.3,28/9/2022
31,31,28/9/2022,34.3,44.7,28/9/2022
32,32,28/9/2022,35.3,56.4,28/9/2022
33,33,28/9/2022,36.2,32.9,28/9/2022
34,34,28/9/2022,36.4,32.9,28/9/2022
35,35,28/9/2022,36.4,32.5,28/9/2022
36,36,28/9/2022,36.5,32.2,28/9/2022
37,37,28/9/2022,36.5,34.3,28/9/2022
38,38,28/9/2022,36.6,31.5,28/9/2022
39,39,28/9/2022,36.6,31.4,28/9/2022
40,40,28/9/2022,36.6,31.5,28/9/2022
41,41,28/9/2022,36.6,31.6,28/9/2022
42,42,28/9/2022,36.6,31.5,28/9/2022
43,43,28/9/2022,36.6,31.7,28/9/2022
44,44,28/9/2022,36.8,31.9,28/9/2022
45,45,28/9/2022,36.9,32.1,28/9/2022
46,46,28/9/2022,37.0,42.4,28/9/2022
47,47,28/9/2022,37.1,42.8,28/9/2022
48,48,28/9/2022,37.2,42.3,28/9/2022
49,49,28/9/2022,37.3,40.6,28/9/2022
50,50,28/9/2022,37.2,30.6,28/9/2022
51,51,28/9/2022,37.2,30.7,28/9/2022
52,52,28/9/2022,37.3,30.5,28/9/2022
53,53,28/9/2022,37.3,30.4,28/9/2022
54,54,28/9/2022,37.4,30.6,28/9/2022
55,55,28/9/2022,37.4,30.5,28/9/2022
56,56,28/9/2022,37.4,30.3,28/9/2022
57,57,28/9/2022,37.5,30.0,28/9/2022
58,58,28/9/2022,37.4,29.7,28/9/2022
59,59,28/9/2022,37.4,29.5,28/9/2022
60,60,28/9/2022,37.5,29.6,28/9/2022
61,61,28/9/2022,37.6,29.7,28/9/2022
62,62,28/9/2022,37.6,29.5,28/9/2022
63,63,28/9/2022,37.7,29.6,28/9/2022
64,64,28/9/2022,37.6,29.7,28/9/2022
65,65,28/9/2022,37.6,29.5,28/9/2022
66,66,28/9/2022,37.7,29.6,28/9/2022
67,67,28/9/2022,37.7,29.5,28/9/2022
68,68,28/9/2022,37.7,29.4,28/9/2022
69,69,28/9/2022,37.8,29.5,28/9/2022
70,70,28/9/2022,37.9,29.5,28/9/2022
71,71,28/9/2022,37.9,29.7,28/9/2022
72,72,28/9/2022,37.9,29.5,28/9/2022
73,73,28/9/2022,37.9,29.4,28/9/2022
74,74,28/9/2022,38.0,29.1,28/9/2022
75,75,28/9/2022,37.9,29.3,28/9/2022
76,76,28/9/2022,37.7,29.3,28/9/2022
77,77,28/9/2022,37.7,29.3,28/9/2022
78,78,28/9/2022,37.8,29.4,28/9/2022
79,79,28/9/2022,37.6,29.3,28/9/2022
80,80,28/9/2022,37.4,29.5,28/9/2022
81,81,28/9/2022,37.2,29.7,28/9/2022
82,82,28/9/2022,37.2,29.8,28/9/2022
83,83,28/9/2022,37.1,29.9,28/9/2022
84,84,28/9/2022,37.0,30.0,28/9/2022
85,85,28/9/2022,36.9,30.0,28/9/2022
86,86,28/9/2022,36.9,30.0,28/9/2022
87,87,28/9/2022,36.9,30.0,28/9/2022
88,88,28/9/2022,36.9,30.1,28/9/2022
89,89,28/9/2022,36.9,30.1,28/9/2022
90,90,28/9/2022,36.9,30.0,28/9/2022
91,91,28/9/2022,36.9,30.0,28/9/2022
92,92,28/9/2022,36.7,30.2,28/9/2022
93,93,28/9/2022,36.5,30.3,28/9/2022
94,94,28/9/2022,36.3,30.5,28/9/2022
95,95,28/9/2022,36.3,30.8,28/9/2022
96,96,28/9/2022,36.3,31.0,28/9/2022
97,97,28/9/2022,36.3,31.1,28/9/2022
98,98,28/9/2022,36.4,31.1,28/9/2022
99,99,28/9/2022,36.4,31.0,28/9/2022
100,100,28/9/2022,36.4,31.1,28/9/2022
101,101,28/9/2022,36.5,31.3,28/9/2022
102,102,28/9/2022,36.5,31.3,28/9/2022
103,103,28/9/2022,36.4,31.1,28/9/2022
104,104,28/9/2022,36.4,31.2,28/9/2022
105,105,28/9/2022,36.4,30.9,28/9/2022
106,106,28/9/2022,36.4,30.6,28/9/2022
107,107,28/9/2022,36.4,30.9,28/9/2022
108,108,28/9/2022,36.4,31.0,28/9/2022
109,109,28/9/2022,36.4,30.6,28/9/2022
110,110,28/9/2022,36.4,30.3,28/9/2022
111,111,28/9/2022,36.4,30.2,28/9/2022
112,112,28/9/2022,36.5,30.6,28/9/2022
113,113,28/9/2022,36.5,30.4,28/9/2022
114,114,28/9/2022,36.4,30.2,28/9/2022
115,115,28/9/2022,36.5,30.0,28/9/2022
116,116,28/9/2022,36.6,30.0,28/9/2022
117,117,28/9/2022,36.6,30.2,28/9/2022
118,118,28/9/2022,36.7,30.2,28/9/2022
119,119,28/9/2022,36.7,30.1,28/9/2022
120,120,28/9/2022,36.6,30.0,28/9/2022
121,121,28/9/2022,36.5,30.0,28/9/2022
122,122,28/9/2022,36.5,30.0,28/9/2022
123,123,28/9/2022,36.4,30.0,28/9/2022
124,124,28/9/2022,36.4,30.1,28/9/2022
125,125,28/9/2022,36.5,30.3,28/9/2022
126,126,28/9/2022,36.5,30.3,28/9/2022
127,127,28/9/2022,36.6,30.4,28/9/2022
128,128,28/9/2022,36.5,30.4,28/9/2022
129,129,28/9/2022,36.5,30.5,28/9/2022
130,130,28/9/2022,36.6,30.4,28/9/2022
