, Temperatura (C), Humedad (%),Fecha,Hora
0,29.6,49.3,14/10/2022,12:4
1,30.0,46.8,14/10/2022,12:4
2,30.0,46.4,14/10/2022,12:4
3,30.0,46.1,14/10/2022,12:4
4,30.0,46.1,14/10/2022,12:4
5,30.0,49.2,14/10/2022,12:4
6,30.0,48.7,14/10/2022,12:4
7,30.0,48.3,14/10/2022,12:5
8,30.1,49.0,14/10/2022,12:5
9,30.0,49.7,14/10/2022,12:5
10,30.0,47.1,14/10/2022,12:5
11,29.9,46.2,14/10/2022,12:5
12,29.8,46.1,14/10/2022,12:5
13,29.8,44.6,14/10/2022,12:5
14,30.2,44.6,14/10/2022,12:5
15,30.2,43.9,14/10/2022,12:5
16,30.4,45.8,14/10/2022,12:5
17,30.5,45.6,14/10/2022,12:6
18,30.5,45.4,14/10/2022,12:6
19,30.8,46.1,14/10/2022,12:6
20,31.0,45.6,14/10/2022,12:6
21,31.2,45.0,14/10/2022,12:6
22,31.4,45.0,14/10/2022,12:6
23,31.6,43.4,14/10/2022,12:6
24,31.6,42.9,14/10/2022,12:6
25,31.7,43.2,14/10/2022,12:6
26,31.8,43.0,14/10/2022,12:6
27,31.9,42.4,14/10/2022,12:7
28,32.1,43.2,14/10/2022,12:7
29,32.3,43.1,14/10/2022,12:7
30,32.5,41.8,14/10/2022,12:7
31,32.6,42.3,14/10/2022,12:7
32,32.8,43.0,14/10/2022,12:7
33,33.0,41.3,14/10/2022,12:7
34,33.1,41.3,14/10/2022,12:7
35,33.2,40.9,14/10/2022,12:7
36,32.9,40.1,14/10/2022,12:7
37,33.0,39.9,14/10/2022,12:8
38,33.3,49.2,14/10/2022,12:8
39,33.3,51.3,14/10/2022,12:8
40,33.4,60.5,14/10/2022,12:8
41,33.6,41.8,14/10/2022,12:8
42,33.8,40.5,14/10/2022,12:8
43,33.8,39.4,14/10/2022,12:8
44,34.0,38.9,14/10/2022,12:8
45,34.1,39.2,14/10/2022,12:8
46,34.3,40.3,14/10/2022,12:8
47,34.4,40.4,14/10/2022,12:9
48,34.5,39.9,14/10/2022,12:9
49,34.7,40.4,14/10/2022,12:9
50,34.8,39.8,14/10/2022,12:9
51,34.9,40.6,14/10/2022,12:9
52,35.0,37.9,14/10/2022,12:9
53,35.2,37.9,14/10/2022,12:9
54,35.3,38.6,14/10/2022,12:9
55,35.4,40.1,14/10/2022,12:9
