,Unnamed: 0.1, Temperatura (C), Humedad (%),Fecha,Hora
0,0,27.0,63.2,1/1/2021,1/1/2021
1,1,27.0,63.5,1/1/2021,1/1/2021
2,2,27.0,63.3,1/1/2021,1/1/2021
3,3,27.1,63.2,1/1/2021,1/1/2021
4,4,27.0,63.1,1/1/2021,1/1/2021
5,5,27.1,63.5,1/1/2021,1/1/2021
6,6,27.1,63.5,1/1/2021,1/1/2021
7,7,27.1,63.1,1/1/2021,1/1/2021
8,8,27.1,62.5,1/1/2021,1/1/2021
9,9,27.1,62.2,1/1/2021,1/1/2021
10,10,27.1,61.1,1/1/2021,1/1/2021
11,11,27.1,60.6,1/1/2021,1/1/2021
12,12,27.1,61.5,1/1/2021,1/1/2021
13,13,27.1,62.0,1/1/2021,1/1/2021
14,14,27.1,61.1,1/1/2021,1/1/2021
15,15,27.1,61.5,1/1/2021,1/1/2021
16,16,27.1,61.9,1/1/2021,1/1/2021
17,17,27.1,61.9,1/1/2021,1/1/2021
18,18,27.2,62.0,1/1/2021,1/1/2021
19,19,27.2,61.8,1/1/2021,1/1/2021
20,20,27.3,62.1,1/1/2021,1/1/2021
21,21,27.3,61.8,1/1/2021,1/1/2021
22,22,27.3,61.1,1/1/2021,1/1/2021
23,23,27.3,60.9,1/1/2021,1/1/2021
24,24,27.3,61.4,1/1/2021,1/1/2021
25,25,27.3,62.0,1/1/2021,1/1/2021
26,26,27.3,61.6,1/1/2021,1/1/2021
27,27,27.2,60.5,1/1/2021,1/1/2021
28,28,27.2,61.0,1/1/2021,1/1/2021
29,29,27.1,61.1,1/1/2021,1/1/2021
30,30,27.2,61.9,1/1/2021,1/1/2021
31,31,27.2,61.8,1/1/2021,1/1/2021
32,32,27.2,61.6,1/1/2021,1/1/2021
33,33,27.2,62.1,1/1/2021,1/1/2021
34,34,27.2,62.2,1/1/2021,1/1/2021
35,35,27.2,62.6,1/1/2021,1/1/2021
36,36,27.2,61.6,1/1/2021,1/1/2021
37,37,27.2,61.6,1/1/2021,1/1/2021
