,Unnamed: 0.1, Temperatura (C), Humedad (%),Fecha,Hora
0,0,23.8,74.1,30/10/2022,30/10/2022
1,1,24.8,77.3,30/10/2022,30/10/2022
2,2,24.8,75.7,30/10/2022,30/10/2022
3,3,24.8,74.1,30/10/2022,30/10/2022
4,4,24.9,73.1,30/10/2022,30/10/2022
5,5,24.9,72.6,30/10/2022,30/10/2022
6,6,24.9,69.6,30/10/2022,30/10/2022
7,7,24.9,68.1,30/10/2022,30/10/2022
8,8,25.0,67.1,30/10/2022,30/10/2022
9,9,25.0,66.2,30/10/2022,30/10/2022
10,10,25.1,65.3,30/10/2022,30/10/2022
11,11,25.2,64.7,30/10/2022,30/10/2022
12,12,25.3,64.2,30/10/2022,30/10/2022
13,13,25.3,63.6,30/10/2022,30/10/2022
14,14,25.4,63.2,30/10/2022,30/10/2022
15,15,25.5,62.8,30/10/2022,30/10/2022
16,16,25.6,62.3,30/10/2022,30/10/2022
17,17,25.6,62.0,30/10/2022,30/10/2022
18,18,25.7,61.7,30/10/2022,30/10/2022
19,19,25.8,61.5,30/10/2022,30/10/2022
20,20,25.8,61.3,30/10/2022,30/10/2022
21,21,25.9,61.1,30/10/2022,30/10/2022
22,22,26.0,60.8,30/10/2022,30/10/2022
23,23,26.1,60.5,30/10/2022,30/10/2022
24,24,26.2,60.3,30/10/2022,30/10/2022
25,25,26.3,60.0,30/10/2022,30/10/2022
26,26,26.4,59.8,30/10/2022,30/10/2022
27,27,26.5,59.4,30/10/2022,30/10/2022
28,28,26.6,58.9,30/10/2022,30/10/2022
29,29,26.6,58.6,30/10/2022,30/10/2022
30,30,26.7,58.4,30/10/2022,30/10/2022
31,31,26.8,58.2,30/10/2022,30/10/2022
32,32,26.8,58.0,30/10/2022,30/10/2022
33,33,26.9,57.8,30/10/2022,30/10/2022
34,34,27.0,57.5,30/10/2022,30/10/2022
35,35,27.1,57.3,30/10/2022,30/10/2022
36,36,27.1,56.9,30/10/2022,30/10/2022
37,37,27.2,56.7,30/10/2022,30/10/2022
38,38,27.3,56.6,30/10/2022,30/10/2022
39,39,27.4,56.5,30/10/2022,30/10/2022
40,40,27.4,56.3,30/10/2022,30/10/2022
41,41,27.5,56.2,30/10/2022,30/10/2022
42,42,27.6,56.1,30/10/2022,30/10/2022
43,43,27.6,55.8,30/10/2022,30/10/2022
44,44,27.7,55.6,30/10/2022,30/10/2022
45,45,27.8,55.6,30/10/2022,30/10/2022
46,46,27.8,55.4,30/10/2022,30/10/2022
47,47,27.9,55.5,30/10/2022,30/10/2022
48,48,27.9,55.4,30/10/2022,30/10/2022
49,49,27.9,55.3,30/10/2022,30/10/2022
50,50,27.9,55.2,30/10/2022,30/10/2022
51,51,27.9,55.1,30/10/2022,30/10/2022
52,52,28.0,54.6,30/10/2022,30/10/2022
53,53,28.0,55.2,30/10/2022,30/10/2022
54,54,28.1,55.1,30/10/2022,30/10/2022
55,55,28.1,55.0,30/10/2022,30/10/2022
56,56,28.2,55.0,30/10/2022,30/10/2022
57,57,28.2,55.0,30/10/2022,30/10/2022
58,58,28.2,54.7,30/10/2022,30/10/2022
59,59,28.3,54.7,30/10/2022,30/10/2022
60,60,28.3,54.7,30/10/2022,30/10/2022
61,61,28.3,54.5,30/10/2022,30/10/2022
62,62,28.4,54.5,30/10/2022,30/10/2022
63,63,28.4,63.4,30/10/2022,30/10/2022
64,64,28.5,55.6,30/10/2022,30/10/2022
65,65,28.6,63.3,30/10/2022,30/10/2022
66,66,28.7,53.0,30/10/2022,30/10/2022
67,67,28.7,53.5,30/10/2022,30/10/2022
68,68,28.7,53.3,30/10/2022,30/10/2022
69,69,28.8,53.3,30/10/2022,30/10/2022
70,70,28.8,53.3,30/10/2022,30/10/2022
71,71,28.8,53.3,30/10/2022,30/10/2022
72,72,28.8,53.2,30/10/2022,30/10/2022
73,73,28.8,53.0,30/10/2022,30/10/2022
74,74,28.9,53.1,30/10/2022,30/10/2022
75,75,28.9,52.9,30/10/2022,30/10/2022
76,76,28.9,52.7,30/10/2022,30/10/2022
77,77,28.9,52.4,30/10/2022,30/10/2022
78,78,28.9,52.5,30/10/2022,30/10/2022
79,79,29.0,52.6,30/10/2022,30/10/2022
80,80,29.0,52.4,30/10/2022,30/10/2022
81,81,29.0,52.3,30/10/2022,30/10/2022
82,82,29.1,52.2,30/10/2022,30/10/2022
83,83,29.1,52.2,30/10/2022,30/10/2022
84,84,29.2,52.1,30/10/2022,30/10/2022
85,85,29.1,51.8,30/10/2022,30/10/2022
86,86,29.2,51.8,30/10/2022,30/10/2022
87,87,29.2,51.7,30/10/2022,30/10/2022
88,88,29.2,51.7,30/10/2022,30/10/2022
89,89,29.2,51.7,30/10/2022,30/10/2022
90,90,29.3,51.8,30/10/2022,30/10/2022
91,91,29.3,51.6,30/10/2022,30/10/2022
92,92,29.4,51.6,30/10/2022,30/10/2022
93,93,29.3,51.4,30/10/2022,30/10/2022
94,94,29.4,51.3,30/10/2022,30/10/2022
95,95,29.4,51.2,30/10/2022,30/10/2022
96,96,29.4,51.2,30/10/2022,30/10/2022
97,97,29.5,51.2,30/10/2022,30/10/2022
98,98,29.5,51.1,30/10/2022,30/10/2022
99,99,29.5,51.0,30/10/2022,30/10/2022
100,100,29.6,51.0,30/10/2022,30/10/2022
101,101,29.6,51.0,30/10/2022,30/10/2022
102,102,29.6,50.9,30/10/2022,30/10/2022
103,103,29.7,50.7,30/10/2022,30/10/2022
