Fecha; Temperatura (°C); Humedad (%); Iluminacion
28/9/2022 14:14; 26.1°C; 39.4%; 1
28/9/2022 14:14; 25.9°C; 37.1%; 2
28/9/2022 14:15; 25.8°C; 35.1%; 2
28/9/2022 14:15; 25.6°C; 34.8%; 2
28/9/2022 14:15; 25.5°C; 35.3%; 2
28/9/2022 14:15; 25.5°C; 40.3%; 1
28/9/2022 14:15; 25.4°C; 37.8%; 1
28/9/2022 14:15; 25.3°C; 40.0%; 1
28/9/2022 14:15; 25.2°C; 37.7%; 2
28/9/2022 14:16; 25.2°C; 39.2%; 3
28/9/2022 14:16; 25.1°C; 38.0%; 4
28/9/2022 14:16; 25.0°C; 38.1%; 37
28/9/2022 14:16; 25.0°C; 47.0%; 0
28/9/2022 14:16; 25.1°C; 49.3%; 9
28/9/2022 14:16; 25.2°C; 48.6%; 0
28/9/2022 14:16; 25.3°C; 47.8%; 0
28/9/2022 14:16; 25.4°C; 50.4%; 49
28/9/2022 14:17; 25.4°C; 50.7%; 154
28/9/2022 14:17; 26.5°C; 51.6%; 88
28/9/2022 14:17; 27.1°C; 49.5%; 115
28/9/2022 14:17; 27.6°C; 53.9%; 114
28/9/2022 14:17; 28.6°C; 48.9%; 131
28/9/2022 14:17; 29.5°C; 46.7%; 156
28/9/2022 14:17; 30.2°C; 45.3%; 154
28/9/2022 14:18; 30.7°C; 43.8%; 136
28/9/2022 14:18; 31.3°C; 42.9%; 103
28/9/2022 14:18; 31.9°C; 41.8%; 55
28/9/2022 14:18; 32.4°C; 40.7%; 58
28/9/2022 14:18; 32.8°C; 41.2%; 50
28/9/2022 14:18; 33.1°C; 41.6%; 72
28/9/2022 14:18; 33.5°C; 38.3%; 38
28/9/2022 14:19; 34.3°C; 44.7%; 51
28/9/2022 14:19; 35.3°C; 56.4%; 26
28/9/2022 14:20; 36.2°C; 32.9%; 62
28/9/2022 14:20; 36.4°C; 32.9%; 61
28/9/2022 14:20; 36.4°C; 32.5%; 56
28/9/2022 14:20; 36.5°C; 32.2%; 44
28/9/2022 14:20; 36.5°C; 34.3%; 48
28/9/2022 14:20; 36.6°C; 31.5%; 56
28/9/2022 14:20; 36.6°C; 31.4%; 64
28/9/2022 14:20; 36.6°C; 31.5%; 63
28/9/2022 14:21; 36.6°C; 31.6%; 62
28/9/2022 14:21; 36.6°C; 31.5%; 59
28/9/2022 14:21; 36.6°C; 31.7%; 59
28/9/2022 14:21; 36.8°C; 31.9%; 59
28/9/2022 14:21; 36.9°C; 32.1%; 35
28/9/2022 14:21; 37.0°C; 42.4%; 33
28/9/2022 14:21; 37.1°C; 42.8%; 34
28/9/2022 14:22; 37.2°C; 42.3%; 34
28/9/2022 14:22; 37.3°C; 40.6%; 61
28/9/2022 14:22; 37.2°C; 30.6%; 59
28/9/2022 14:22; 37.2°C; 30.7%; 54
