Fecha; Temperatura (°C); Humedad (%); Iluminacion
1/1/2021 0:0; 24.8°C; 62.2%; 28
1/1/2021 0:0; 24.5°C; 61.7%; 34
1/1/2021 0:0; 24.4°C; 61.4%; 45
1/1/2021 0:0; 24.3°C; 61.0%; 49
1/1/2021 0:0; 24.2°C; 60.6%; 50
1/1/2021 0:0; 24.1°C; 60.5%; 49
1/1/2021 0:0; 24.0°C; 60.8%; 51
1/1/2021 0:1; 23.9°C; 61.0%; 52
1/1/2021 0:1; 23.8°C; 61.5%; 51
1/1/2021 0:1; 23.6°C; 62.0%; 51
1/1/2021 0:1; 23.6°C; 62.4%; 50
1/1/2021 0:1; 23.5°C; 62.7%; 51
1/1/2021 0:1; 23.4°C; 63.0%; 51
1/1/2021 0:1; 23.3°C; 63.3%; 52
1/1/2021 0:2; 23.3°C; 63.6%; 52
1/1/2021 0:2; 23.2°C; 63.8%; 51
1/1/2021 0:2; 23.1°C; 63.9%; 52
1/1/2021 0:2; 23.1°C; 64.1%; 52
1/1/2021 0:2; 23.0°C; 64.4%; 52
1/1/2021 0:2; 22.9°C; 64.7%; 53
1/1/2021 0:2; 22.8°C; 64.7%; 52
1/1/2021 0:2; 22.7°C; 64.7%; 52
1/1/2021 0:3; 22.7°C; 64.8%; 52
1/1/2021 0:3; 22.6°C; 64.9%; 53
1/1/2021 0:3; 22.5°C; 65.1%; 53
1/1/2021 0:3; 22.5°C; 65.4%; 52
1/1/2021 0:3; 22.5°C; 65.8%; 53
1/1/2021 0:3; 22.4°C; 65.9%; 52
1/1/2021 0:3; 22.4°C; 66.2%; 52
1/1/2021 0:4; 22.3°C; 66.5%; 54
1/1/2021 0:4; 22.3°C; 67.0%; 53
1/1/2021 0:4; 22.2°C; 67.3%; 53
1/1/2021 0:4; 22.1°C; 67.6%; 53
1/1/2021 0:4; 22.1°C; 67.9%; 53
1/1/2021 0:4; 22.0°C; 68.1%; 53
1/1/2021 0:4; 22.0°C; 68.2%; 53
1/1/2021 0:4; 22.0°C; 68.5%; 53
1/1/2021 0:5; 21.9°C; 68.7%; 53
1/1/2021 0:5; 21.9°C; 68.9%; 53
1/1/2021 0:5; 21.9°C; 69.0%; 53
1/1/2021 0:5; 21.9°C; 69.0%; 53
1/1/2021 0:5; 21.9°C; 69.1%; 53
1/1/2021 0:5; 21.9°C; 69.1%; 53
1/1/2021 0:5; 21.9°C; 69.0%; 54
1/1/2021 0:6; 21.9°C; 68.5%; 53
1/1/2021 0:6; 21.8°C; 68.1%; 54
1/1/2021 0:6; 21.8°C; 67.9%; 54
1/1/2021 0:6; 21.8°C; 68.1%; 53
1/1/2021 0:6; 21.8°C; 68.5%; 53
1/1/2021 0:6; 21.7°C; 68.80001%; 54
1/1/2021 0:6; 21.7°C; 68.9%; 53
1/1/2021 0:6; 21.7°C; 69.2%; 54
1/1/2021 0:7; 21.7°C; 69.3%; 54
1/1/2021 0:7; 21.7°C; 69.4%; 54
1/1/2021 0:7; 21.7°C; 69.1%; 54
1/1/2021 0:7; 21.6°C; 68.80001%; 54
1/1/2021 0:7; 21.6°C; 68.80001%; 54
1/1/2021 0:7; 21.7°C; 69.0%; 54
1/1/2021 0:7; 21.7°C; 69.2%; 54
1/1/2021 0:8; 21.7°C; 69.2%; 53
1/1/2021 0:8; 21.7°C; 69.2%; 54
1/1/2021 0:8; 21.7°C; 69.2%; 54
1/1/2021 0:8; 21.7°C; 69.2%; 54
1/1/2021 0:8; 21.6°C; 69.2%; 54
1/1/2021 0:8; 21.6°C; 69.4%; 54
1/1/2021 0:8; 21.6°C; 69.5%; 54
1/1/2021 0:8; 21.6°C; 69.3%; 54
1/1/2021 0:9; 21.5°C; 69.2%; 54
