,Year,Month,Day,Hour,Minute,GHI,Cloud Type,Surface Albedo
7,2019,1,1,7,0,137,0,0.16
8,2019,1,1,8,0,379,0,0.16
9,2019,1,1,9,0,609,0,0.16
10,2019,1,1,10,0,794,0,0.16
11,2019,1,1,11,0,917,0,0.16
12,2019,1,1,12,0,966,0,0.16
13,2019,1,1,13,0,936,0,0.16
14,2019,1,1,14,0,832,0,0.16
15,2019,1,1,15,0,661,0,0.16
16,2019,1,1,16,0,443,0,0.16
17,2019,1,1,17,0,203,0,0.16
18,2019,1,1,18,0,12,0,0.16
31,2019,1,2,7,0,141,0,0.16
32,2019,1,2,8,0,386,0,0.16
33,2019,1,2,9,0,618,0,0.16
34,2019,1,2,10,0,801,0,0.16
35,2019,1,2,11,0,923,0,0.16
36,2019,1,2,12,0,970,0,0.16
37,2019,1,2,13,0,938,0,0.16
38,2019,1,2,14,0,833,0,0.16
39,2019,1,2,15,0,663,0,0.16
40,2019,1,2,16,0,444,0,0.16
41,2019,1,2,17,0,204,0,0.16
42,2019,1,2,18,0,13,0,0.16
55,2019,1,3,7,0,128,0,0.16
56,2019,1,3,8,0,367,0,0.16
57,2019,1,3,9,0,596,0,0.16
58,2019,1,3,10,0,780,0,0.16
59,2019,1,3,11,0,903,0,0.16
60,2019,1,3,12,0,955,0,0.16
61,2019,1,3,13,0,926,0,0.16
62,2019,1,3,14,0,824,0,0.16
63,2019,1,3,15,0,479,3,0.16
64,2019,1,3,16,0,443,0,0.16
65,2019,1,3,17,0,130,3,0.16
66,2019,1,3,18,0,6,3,0.16
79,2019,1,4,7,0,124,0,0.16
80,2019,1,4,8,0,361,0,0.16
81,2019,1,4,9,0,592,0,0.16
82,2019,1,4,10,0,774,0,0.16
83,2019,1,4,11,0,900,0,0.16
84,2019,1,4,12,0,952,0,0.16
85,2019,1,4,13,0,921,0,0.16
86,2019,1,4,14,0,819,0,0.16
87,2019,1,4,15,0,654,0,0.16
88,2019,1,4,16,0,437,0,0.16
89,2019,1,4,17,0,199,0,0.16
90,2019,1,4,18,0,12,0,0.16
103,2019,1,5,7,0,122,0,0.16
104,2019,1,5,8,0,360,7,0.16
105,2019,1,5,9,0,590,0,0.16
106,2019,1,5,10,0,775,0,0.16
107,2019,1,5,11,0,899,0,0.16
108,2019,1,5,12,0,949,0,0.16
109,2019,1,5,13,0,915,0,0.16
110,2019,1,5,14,0,585,3,0.16
