,Year,Month,Day,Hour,Minute,GHI,Cloud Type,Surface Albedo
7,2020,1,1,7,0,87,4,0.18
8,2020,1,1,8,0,345,0,0.18
9,2020,1,1,9,0,573,0,0.18
10,2020,1,1,10,0,746,0,0.18
11,2020,1,1,11,0,867,1,0.18
12,2020,1,1,12,0,707,3,0.18
13,2020,1,1,13,0,628,3,0.18
14,2020,1,1,14,0,530,3,0.18
15,2020,1,1,15,0,155,8,0.18
16,2020,1,1,16,0,306,3,0.18
17,2020,1,1,17,0,47,8,0.18
18,2020,1,1,18,0,2,8,0.18
31,2020,1,2,7,0,128,0,0.18
32,2020,1,2,8,0,365,0,0.18
33,2020,1,2,9,0,595,0,0.18
34,2020,1,2,10,0,780,0,0.18
35,2020,1,2,11,0,903,0,0.18
36,2020,1,2,12,0,953,0,0.18
37,2020,1,2,13,0,920,1,0.18
38,2020,1,2,14,0,327,3,0.18
39,2020,1,2,15,0,373,3,0.18
40,2020,1,2,16,0,431,0,0.18
41,2020,1,2,17,0,198,0,0.18
42,2020,1,2,18,0,4,3,0.18
55,2020,1,3,7,0,131,0,0.17
56,2020,1,3,8,0,177,3,0.17
57,2020,1,3,9,0,596,0,0.17
58,2020,1,3,10,0,758,0,0.17
59,2020,1,3,11,0,888,1,0.17
60,2020,1,3,12,0,945,0,0.17
61,2020,1,3,13,0,925,0,0.17
62,2020,1,3,14,0,826,0,0.17
63,2020,1,3,15,0,660,0,0.17
64,2020,1,3,16,0,442,0,0.17
65,2020,1,3,17,0,203,0,0.17
66,2020,1,3,18,0,13,1,0.17
79,2020,1,4,7,0,135,0,0.17
80,2020,1,4,8,0,380,1,0.17
81,2020,1,4,9,0,611,0,0.17
82,2020,1,4,10,0,783,0,0.17
83,2020,1,4,11,0,909,0,0.17
84,2020,1,4,12,0,960,0,0.17
85,2020,1,4,13,0,926,0,0.17
86,2020,1,4,14,0,826,0,0.17
87,2020,1,4,15,0,458,2,0.17
88,2020,1,4,16,0,447,0,0.17
89,2020,1,4,17,0,210,0,0.17
90,2020,1,4,18,0,15,0,0.17
103,2020,1,5,7,0,130,0,0.17
104,2020,1,5,8,0,369,0,0.17
105,2020,1,5,9,0,595,0,0.17
106,2020,1,5,10,0,697,2,0.17
107,2020,1,5,11,0,883,0,0.17
108,2020,1,5,12,0,937,1,0.17
109,2020,1,5,13,0,680,2,0.17
110,2020,1,5,14,0,604,2,0.17
111,2020,1,5,15,0,492,2,0.17
112,2020,1,5,16,0,333,3,0.17
113,2020,1,5,17,0,44,4,0.17
114,2020,1,5,18,0,10,7,0.17
127,2020,1,6,7,0,123,0,0.17
128,2020,1,6,8,0,360,0,0.17
129,2020,1,6,9,0,589,1,0.17
130,2020,1,6,10,0,765,0,0.17
131,2020,1,6,11,0,886,0,0.17
132,2020,1,6,12,0,934,0,0.17
133,2020,1,6,13,0,899,0,0.17
134,2020,1,6,14,0,796,0,0.17
135,2020,1,6,15,0,631,0,0.17
136,2020,1,6,16,0,416,0,0.17
137,2020,1,6,17,0,186,0,0.17
138,2020,1,6,18,0,8,1,0.17
151,2020,1,7,7,0,114,0,0.17
152,2020,1,7,8,0,207,3,0.17
153,2020,1,7,9,0,583,0,0.17
154,2020,1,7,10,0,788,0,0.17
155,2020,1,7,11,0,916,0,0.17
156,2020,1,7,12,0,969,0,0.17
157,2020,1,7,13,0,940,0,0.17
158,2020,1,7,14,0,838,0,0.17
159,2020,1,7,15,0,639,3,0.17
160,2020,1,7,16,0,455,0,0.17
161,2020,1,7,17,0,215,0,0.17
162,2020,1,7,18,0,16,0,0.17
175,2020,1,8,7,0,126,0,0.17
176,2020,1,8,8,0,372,0,0.17
177,2020,1,8,9,0,609,0,0.17
178,2020,1,8,10,0,801,0,0.17
179,2020,1,8,11,0,930,0,0.17
180,2020,1,8,12,0,983,0,0.17
181,2020,1,8,13,0,952,0,0.17
182,2020,1,8,14,0,849,0,0.17
183,2020,1,8,15,0,506,3,0.17
184,2020,1,8,16,0,266,3,0.17
185,2020,1,8,17,0,218,0,0.17
186,2020,1,8,18,0,17,0,0.17
199,2020,1,9,7,0,120,0,0.17
200,2020,1,9,8,0,360,1,0.17
201,2020,1,9,9,0,594,0,0.17
202,2020,1,9,10,0,786,0,0.17
203,2020,1,9,11,0,916,0,0.17
204,2020,1,9,12,0,969,0,0.17
205,2020,1,9,13,0,938,0,0.17
206,2020,1,9,14,0,838,0,0.17
207,2020,1,9,15,0,673,0,0.17
208,2020,1,9,16,0,211,3,0.17
209,2020,1,9,17,0,216,0,0.17
210,2020,1,9,18,0,17,0,0.17
223,2020,1,10,7,0,125,0,0.17
