Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4664911,-,b'Valle del Cauca',b'Colombia',3.36,-76.51,-5,964,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,GHI,Cloud Type,Surface Albedo
2020,1,1,0,0,0,7,0.18
2020,1,1,1,0,0,8,0.18
2020,1,1,2,0,0,8,0.18
2020,1,1,3,0,0,7,0.18
2020,1,1,4,0,0,7,0.18
2020,1,1,5,0,0,4,0.18
2020,1,1,6,0,0,4,0.18
2020,1,1,7,0,87,4,0.18
2020,1,1,8,0,345,0,0.18
2020,1,1,9,0,573,0,0.18
2020,1,1,10,0,746,0,0.18
2020,1,1,11,0,867,1,0.18
2020,1,1,12,0,707,3,0.18
2020,1,1,13,0,628,3,0.18
2020,1,1,14,0,530,3,0.18
2020,1,1,15,0,155,8,0.18
2020,1,1,16,0,306,3,0.18
2020,1,1,17,0,47,8,0.18
2020,1,1,18,0,2,8,0.18
2020,1,1,19,0,0,8,0.18
2020,1,1,20,0,0,6,0.18
2020,1,1,21,0,0,6,0.18
2020,1,1,22,0,0,3,0.18
2020,1,1,23,0,0,8,0.18
2020,1,2,0,0,0,7,0.18
2020,1,2,1,0,0,6,0.18
2020,1,2,2,0,0,4,0.18
2020,1,2,3,0,0,7,0.18
2020,1,2,4,0,0,7,0.18
2020,1,2,5,0,0,3,0.18
2020,1,2,6,0,0,0,0.18
2020,1,2,7,0,128,0,0.18
2020,1,2,8,0,365,0,0.18
2020,1,2,9,0,595,0,0.18
2020,1,2,10,0,780,0,0.18
2020,1,2,11,0,903,0,0.18
2020,1,2,12,0,953,0,0.18
2020,1,2,13,0,920,1,0.18
2020,1,2,14,0,327,3,0.18
2020,1,2,15,0,373,3,0.18
2020,1,2,16,0,431,0,0.18
2020,1,2,17,0,198,0,0.18
2020,1,2,18,0,4,3,0.18
2020,1,2,19,0,0,8,0.17
2020,1,2,20,0,0,8,0.17
2020,1,2,21,0,0,1,0.17
2020,1,2,22,0,0,3,0.17
2020,1,2,23,0,0,8,0.17
2020,1,3,0,0,0,3,0.17
2020,1,3,1,0,0,4,0.17
2020,1,3,2,0,0,0,0.17
2020,1,3,3,0,0,3,0.17
2020,1,3,4,0,0,3,0.17
2020,1,3,5,0,0,1,0.17
2020,1,3,6,0,0,1,0.17
2020,1,3,7,0,131,0,0.17
2020,1,3,8,0,177,3,0.17
2020,1,3,9,0,596,0,0.17
2020,1,3,10,0,758,0,0.17
2020,1,3,11,0,888,1,0.17
2020,1,3,12,0,945,0,0.17
2020,1,3,13,0,925,0,0.17
2020,1,3,14,0,826,0,0.17
2020,1,3,15,0,660,0,0.17
