Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1161253,-,-,-,3.37,-76.54,-5,1032,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Cloud Type,GHI,Surface Albedo
2021,1,1,0,30,3,0,0.15
2021,1,1,1,30,7,0,0.15
2021,1,1,2,30,3,0,0.15
2021,1,1,3,30,3,0,0.15
2021,1,1,4,30,3,0,0.15
2021,1,1,5,30,3,0,0.15
2021,1,1,6,30,3,12,0.15
2021,1,1,7,30,0,227,0.15
2021,1,1,8,30,0,459,0.15
2021,1,1,9,30,0,660,0.15
2021,1,1,10,30,0,804,0.15
2021,1,1,11,30,0,810,0.15
2021,1,1,12,30,3,731,0.15
2021,1,1,13,30,0,790,0.15
2021,1,1,14,30,3,629,0.15
2021,1,1,15,30,3,320,0.15
2021,1,1,16,30,0,278,0.15
2021,1,1,17,30,0,86,0.15
2021,1,1,18,30,3,0,0.15
2021,1,1,19,30,7,0,0.15
2021,1,1,20,30,3,0,0.15
2021,1,1,21,30,0,0,0.15
2021,1,1,22,30,0,0,0.15
2021,1,1,23,30,3,0,0.15
2021,1,2,0,30,0,0,0.15
2021,1,2,1,30,0,0,0.15
2021,1,2,2,30,3,0,0.15
2021,1,2,3,30,3,0,0.15
2021,1,2,4,30,3,0,0.15
2021,1,2,5,30,3,0,0.15
2021,1,2,6,30,3,18,0.15
2021,1,2,7,30,8,80,0.15
2021,1,2,8,30,7,179,0.15
2021,1,2,9,30,8,319,0.15
2021,1,2,10,30,8,705,0.15
2021,1,2,11,30,8,591,0.15
2021,1,2,12,30,7,442,0.15
2021,1,2,13,30,7,457,0.15
2021,1,2,14,30,7,547,0.15
2021,1,2,15,30,7,373,0.15
2021,1,2,16,30,7,206,0.15
2021,1,2,17,30,7,54,0.15
2021,1,2,18,30,7,0,0.15
2021,1,2,19,30,7,0,0.15
2021,1,2,20,30,8,0,0.15
2021,1,2,21,30,3,0,0.15
2021,1,2,22,30,7,0,0.15
2021,1,2,23,30,7,0,0.15
2021,1,3,0,30,7,0,0.15
2021,1,3,1,30,7,0,0.15
2021,1,3,2,30,8,0,0.15
2021,1,3,3,30,8,0,0.15
2021,1,3,4,30,8,0,0.15
2021,1,3,5,30,7,0,0.15
2021,1,3,6,30,7,14,0.15
2021,1,3,7,30,7,42,0.15
2021,1,3,8,30,7,141,0.15
2021,1,3,9,30,3,108,0.15
2021,1,3,10,30,8,323,0.15
2021,1,3,11,30,7,482,0.15
2021,1,3,12,30,8,734,0.15
2021,1,3,13,30,8,458,0.15
2021,1,3,14,30,0,751,0.15
2021,1,3,15,30,8,248,0.15
2021,1,3,16,30,6,42,0.15
2021,1,3,17,30,6,23,0.15
2021,1,3,18,30,7,0,0.15
2021,1,3,19,30,7,0,0.15
2021,1,3,20,30,8,0,0.15
2021,1,3,21,30,8,0,0.15
2021,1,3,22,30,5,0,0.15
2021,1,3,23,30,3,0,0.15
2021,1,4,0,30,3,0,0.15
2021,1,4,1,30,3,0,0.15
2021,1,4,2,30,3,0,0.15
2021,1,4,3,30,4,0,0.15
2021,1,4,4,30,3,0,0.15
2021,1,4,5,30,4,0,0.15
2021,1,4,6,30,4,11,0.15
2021,1,4,7,30,4,14,0.15
2021,1,4,8,30,3,176,0.15
2021,1,4,9,30,4,213,0.15
2021,1,4,10,30,3,517,0.15
2021,1,4,11,30,7,675,0.15
2021,1,4,12,30,4,251,0.15
2021,1,4,13,30,7,633,0.15
2021,1,4,14,30,3,482,0.15
2021,1,4,15,30,3,237,0.15
2021,1,4,16,30,0,322,0.15
2021,1,4,17,30,0,96,0.15
2021,1,4,18,30,7,0,0.15
2021,1,4,19,30,6,0,0.15
2021,1,4,20,30,6,0,0.15
2021,1,4,21,30,7,0,0.15
2021,1,4,22,30,8,0,0.15
2021,1,4,23,30,7,0,0.15
2021,1,5,0,30,7,0,0.15
2021,1,5,1,30,3,0,0.15
2021,1,5,2,30,8,0,0.15
2021,1,5,3,30,7,0,0.15
2021,1,5,4,30,3,0,0.15
2021,1,5,5,30,8,0,0.15
2021,1,5,6,30,8,10,0.15
2021,1,5,7,30,7,15,0.15
2021,1,5,8,30,7,37,0.15
2021,1,5,9,30,8,256,0.15
2021,1,5,10,30,8,524,0.15
2021,1,5,11,30,3,630,0.15
2021,1,5,12,30,8,457,0.15
2021,1,5,13,30,8,287,0.15
2021,1,5,14,30,8,422,0.15
2021,1,5,15,30,5,186,0.15
2021,1,5,16,30,4,83,0.15
2021,1,5,17,30,7,22,0.15
2021,1,5,18,30,7,0,0.15
2021,1,5,19,30,7,0,0.15
2021,1,5,20,30,4,0,0.15
2021,1,5,21,30,3,0,0.15
2021,1,5,22,30,3,0,0.15
2021,1,5,23,30,4,0,0.15
2021,1,6,0,30,4,0,0.15
2021,1,6,1,30,4,0,0.15
2021,1,6,2,30,3,0,0.15
2021,1,6,3,30,3,0,0.15
2021,1,6,4,30,4,0,0.15
2021,1,6,5,30,5,0,0.15
2021,1,6,6,30,5,12,0.15
2021,1,6,7,30,4,79,0.15
2021,1,6,8,30,5,156,0.15
2021,1,6,9,30,5,401,0.15
2021,1,6,10,30,5,449,0.15
2021,1,6,11,30,8,644,0.15
2021,1,6,12,30,8,725,0.15
2021,1,6,13,30,8,545,0.15
2021,1,6,14,30,8,531,0.15
2021,1,6,15,30,0,554,0.15
2021,1,6,16,30,8,271,0.15
2021,1,6,17,30,7,73,0.15
2021,1,6,18,30,7,0,0.15
2021,1,6,19,30,7,0,0.15
2021,1,6,20,30,7,0,0.15
2021,1,6,21,30,8,0,0.15
2021,1,6,22,30,8,0,0.15
2021,1,6,23,30,8,0,0.15
2021,1,7,0,30,4,0,0.15
2021,1,7,1,30,4,0,0.15
2021,1,7,2,30,4,0,0.15
2021,1,7,3,30,3,0,0.15
2021,1,7,4,30,8,0,0.15
2021,1,7,5,30,8,0,0.15
2021,1,7,6,30,3,15,0.15
2021,1,7,7,30,3,129,0.15
2021,1,7,8,30,3,170,0.15
2021,1,7,9,30,3,371,0.15
2021,1,7,10,30,3,578,0.15
2021,1,7,11,30,3,760,0.15
2021,1,7,12,30,0,941,0.15
2021,1,7,13,30,0,883,0.15
2021,1,7,14,30,0,748,0.15
2021,1,7,15,30,0,555,0.15
2021,1,7,16,30,0,326,0.15
2021,1,7,17,30,0,98,0.15
2021,1,7,18,30,0,0,0.15
2021,1,7,19,30,0,0,0.15
2021,1,7,20,30,7,0,0.15
2021,1,7,21,30,7,0,0.15
2021,1,7,22,30,7,0,0.15
2021,1,7,23,30,7,0,0.15
2021,1,8,0,30,7,0,0.15
2021,1,8,1,30,8,0,0.15
2021,1,8,2,30,7,0,0.15
2021,1,8,3,30,7,0,0.15
2021,1,8,4,30,8,0,0.15
2021,1,8,5,30,3,0,0.15
2021,1,8,6,30,0,21,0.15
2021,1,8,7,30,3,86,0.15
2021,1,8,8,30,3,310,0.15
2021,1,8,9,30,0,619,0.15
2021,1,8,10,30,0,786,0.15
2021,1,8,11,30,7,637,0.15
2021,1,8,12,30,4,366,0.15
2021,1,8,13,30,4,352,0.15
2021,1,8,14,30,3,555,0.15
2021,1,8,15,30,7,505,0.15
2021,1,8,16,30,8,235,0.15
2021,1,8,17,30,7,47,0.15
2021,1,8,18,30,8,0,0.15
2021,1,8,19,30,8,0,0.15
2021,1,8,20,30,7,0,0.15
2021,1,8,21,30,7,0,0.15
2021,1,8,22,30,0,0,0.15
2021,1,8,23,30,0,0,0.15
2021,1,9,0,30,4,0,0.15
2021,1,9,1,30,4,0,0.15
2021,1,9,2,30,4,0,0.15
2021,1,9,3,30,4,0,0.15
2021,1,9,4,30,4,0,0.15
2021,1,9,5,30,4,0,0.15
2021,1,9,6,30,4,11,0.15
2021,1,9,7,30,4,133,0.15
2021,1,9,8,30,3,395,0.15
2021,1,9,9,30,4,380,0.15
2021,1,9,10,30,4,467,0.15
2021,1,9,11,30,3,697,0.15
2021,1,9,12,30,3,730,0.15
2021,1,9,13,30,0,775,0.15
2021,1,9,14,30,0,717,0.15
2021,1,9,15,30,3,255,0.15
2021,1,9,16,30,0,331,0.15
2021,1,9,17,30,4,30,0.15
2021,1,9,18,30,4,0,0.15
2021,1,9,19,30,4,0,0.15
2021,1,9,20,30,3,0,0.15
2021,1,9,21,30,3,0,0.15
2021,1,9,22,30,3,0,0.15
2021,1,9,23,30,3,0,0.15
2021,1,10,0,30,4,0,0.15
2021,1,10,1,30,4,0,0.15
2021,1,10,2,30,3,0,0.15
2021,1,10,3,30,4,0,0.15
2021,1,10,4,30,4,0,0.15
2021,1,10,5,30,3,0,0.15
2021,1,10,6,30,0,27,0.15
2021,1,10,7,30,0,202,0.15
2021,1,10,8,30,0,483,0.15
2021,1,10,9,30,0,693,0.15
2021,1,10,10,30,0,846,0.15
2021,1,10,11,30,0,939,0.15
2021,1,10,12,30,0,932,0.15
2021,1,10,13,30,0,791,0.15
2021,1,10,14,30,0,751,0.15
2021,1,10,15,30,4,156,0.15
2021,1,10,16,30,4,95,0.15
2021,1,10,17,30,3,62,0.15
2021,1,10,18,30,0,0,0.15
2021,1,10,19,30,3,0,0.15
2021,1,10,20,30,4,0,0.15
2021,1,10,21,30,0,0,0.15
2021,1,10,22,30,0,0,0.15
2021,1,10,23,30,7,0,0.15
2021,1,11,0,30,6,0,0.15
2021,1,11,1,30,8,0,0.15
2021,1,11,2,30,7,0,0.15
2021,1,11,3,30,3,0,0.15
2021,1,11,4,30,0,0,0.15
2021,1,11,5,30,4,0,0.15
2021,1,11,6,30,0,25,0.15
2021,1,11,7,30,4,67,0.15
2021,1,11,8,30,3,365,0.15
2021,1,11,9,30,3,572,0.15
2021,1,11,10,30,0,769,0.15
2021,1,11,11,30,3,676,0.15
2021,1,11,12,30,0,931,0.15
2021,1,11,13,30,4,636,0.15
2021,1,11,14,30,0,771,0.15
2021,1,11,15,30,3,322,0.15
2021,1,11,16,30,0,348,0.15
2021,1,11,17,30,4,26,0.15
2021,1,11,18,30,6,0,0.15
2021,1,11,19,30,6,0,0.15
2021,1,11,20,30,7,0,0.15
2021,1,11,21,30,7,0,0.15
2021,1,11,22,30,8,0,0.15
2021,1,11,23,30,8,0,0.15
2021,1,12,0,30,4,0,0.15
2021,1,12,1,30,8,0,0.15
2021,1,12,2,30,0,0,0.15
2021,1,12,3,30,7,0,0.15
2021,1,12,4,30,7,0,0.15
2021,1,12,5,30,7,0,0.15
2021,1,12,6,30,3,11,0.15
2021,1,12,7,30,0,209,0.15
2021,1,12,8,30,4,158,0.15
2021,1,12,9,30,0,625,0.15
2021,1,12,10,30,3,689,0.15
2021,1,12,11,30,0,887,0.15
2021,1,12,12,30,0,931,0.15
2021,1,12,13,30,0,823,0.15
2021,1,12,14,30,0,717,0.15
2021,1,12,15,30,3,326,0.15
2021,1,12,16,30,0,250,0.15
2021,1,12,17,30,0,110,0.15
2021,1,12,18,30,0,0,0.15
2021,1,12,19,30,0,0,0.15
2021,1,12,20,30,0,0,0.15
2021,1,12,21,30,0,0,0.15
2021,1,12,22,30,0,0,0.15
2021,1,12,23,30,0,0,0.15
2021,1,13,0,30,0,0,0.15
2021,1,13,1,30,0,0,0.15
2021,1,13,2,30,0,0,0.15
2021,1,13,3,30,0,0,0.15
2021,1,13,4,30,0,0,0.15
2021,1,13,5,30,0,0,0.15
2021,1,13,6,30,4,6,0.15
2021,1,13,7,30,4,24,0.15
2021,1,13,8,30,4,215,0.15
2021,1,13,9,30,0,651,0.15
2021,1,13,10,30,7,628,0.15
2021,1,13,11,30,3,806,0.15
2021,1,13,12,30,7,885,0.15
2021,1,13,13,30,0,901,0.15
2021,1,13,14,30,0,742,0.15
2021,1,13,15,30,3,409,0.15
2021,1,13,16,30,3,207,0.15
2021,1,13,17,30,3,82,0.15
2021,1,13,18,30,7,0,0.15
